cancion:id;album_id
966;627
967;628
968;629
969;630
970;629
971;631
972;630
973;630
974;630
975;631
976;631
977;629
978;632
979;633
980;634
949;614
982;635
983;614
984;636
985;637
986;638
987;639
988;640
989;640
990;640
991;640
992;640
993;640
994;640
995;640
996;640
997;640
998;641
999;641
1000;641
1001;641
1002;642
1003;643
1004;644
1005;645
1006;646
1007;645
1008;647
1009;648
1010;649
1011;648
1012;648
1013;649
1014;650
1015;651
1016;651
1017;648
1018;652
1019;653
1020;654
1021;655
1022;656
1023;657
1024;658
1025;652
1026;659
1027;660
1028;661
1029;662
1030;663
1031;661
1032;664
1033;665
1034;662
1035;665
1036;666
1037;661
1038;667
1039;668
1040;669
1041;667
1042;668
1043;670
1044;671
1045;672
1046;673
1047;674
1048;675
1049;676
1050;676
1051;676
1052;675
1053;675
1054;677
1055;676
1056;675
1057;675
1058;678
1059;679
1060;678
1061;678
1062;680
1063;680
1064;679
1065;680
1066;680
1067;680
1068;681
1069;682
1070;683
1071;684
1072;685
1073;686
1074;687
1075;686
1076;688
1077;686
1078;689
1079;690
1080;689
1081;689
1082;691
1083;692
1084;693
1085;694
1086;695
1087;696
1088;697
1089;698
1090;697
1091;698
1092;699
1093;698
1094;700
1095;697
1096;700
1097;701
1098;702
1099;703
1100;704
1101;705
1102;706
1103;707
1104;708
1105;708
1106;709
1107;710
1108;711
1109;712
1110;713
1111;714
1112;715
1113;716
1114;717
1115;716
1116;718
1117;719
1118;719
1119;720
1120;721
1121;722
1122;719
1123;723
1124;723
1125;724
458;719
1127;725
1128;725
1129;726
1130;725
1131;725
1132;727
1133;728
1134;729
1135;725
1136;727
1137;730
1138;731
1139;732
1140;731
1141;733
1142;731
1143;732
1144;731
1145;734
1146;734
365;242
759;486
1149;735
1150;242
1151;242
1152;736
1153;737
1154;738
1155;739
1156;242
1157;740
1158;741
1159;742
1160;743
1161;740
1162;740
1163;742
1164;744
1165;745
1166;743
1167;746
1168;747
1169;748
1170;749
1171;749
1172;750
1173;751
1174;752
1175;749
1176;746
1177;753
1178;754
1179;755
1180;756
1181;757
1182;758
1183;759
1184;760
1185;758
1186;761
1187;762
1188;762
1189;762
1190;763
1191;762
1192;762
1193;764
1194;762
1195;762
1196;765
1197;766
1198;767
1199;768
1200;769
1201;770
1202;771
51;772
1204;771
1205;773
1206;771
1207;774
1208;775
1209;776
1210;775
1211;777
1212;778
1213;779
1214;775
1215;780
1216;781
1217;782
1218;783
1219;783
1220;783
1221;784
1222;784
1223;785
1224;784
1225;786
1226;787
1227;788
1228;789
1229;788
1230;788
1231;790
1232;147
1233;788
1234;791
1235;791
1236;147
1237;792
1238;793
1239;793
1240;794
1241;795
1242;793
1243;796
1244;797
1245;792
1246;794
759;486
1248;798
1249;799
1250;799
1251;800
1252;800
1253;800
1254;801
1255;802
1256;801
759;486
1258;803
1259;804
1260;805
1261;806
1262;807
1263;808
1264;809
1265;810
1266;811
1267;812
1268;812
1269;813
1270;812
1271;814
1272;815
1273;816
1274;817
1275;818
1276;812
1277;819
1278;819
1279;819
1280;820
1281;821
1282;819
1283;822
1284;823
1285;820
1286;824
1287;825
1288;825
1289;825
1290;826
1291;827
1292;825
1293;826
1294;828
113;829
1296;830
759;486
1298;831
1299;832
1300;833
1301;834
1302;835
1303;836
1304;837
1305;838
1306;839
1307;840
759;486
1309;841
1310;842
1311;843
1312;844
1313;845
1314;846
1315;845
1316;847
1317;848
1186;849
1319;850
1320;851
1321;852
1322;850
1323;853
1324;850
1325;850
1326;850
1327;854
1328;855
1329;856
1330;857
1331;858
1332;859
1333;860
1334;861
1335;862
1336;863
1337;864
1338;865
1339;866
1340;867
1341;868
1342;868
1343;869
1344;870
1345;866
1346;871
1347;872
1348;873
1349;872
1350;874
1351;873
1352;875
1353;872
1354;876
1355;873
1356;877
1357;878
1358;879
1359;878
1360;880
1361;881
1362;882
1363;883
1364;884
1365;885
1366;878
759;486
1368;886
1369;887
1370;888
1371;889
1372;890
1373;891
1374;892
1375;893
1376;894
1377;895
1378;896
1379;896
1380;897
1381;898
1382;899
1383;896
1384;900
1385;901
1386;895
1387;902
1388;903
1389;904
1390;905
1391;296
1392;906
1393;907
1394;908
1395;909
1201;770
1397;910
1398;911
1399;912
1400;912
1401;913
1402;914
1403;915
1404;911
1405;916
1406;917
1282;918
1408;919
1409;920
1410;920
1411;921
1280;922
1413;922
1414;919
1415;919
1416;923
1417;924
1418;925
1419;926
1420;927
1421;928
1422;929
1423;930
1424;931
1425;932
