ID;Track;Danceability;Energy;Key;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_ms
43;Something Just Like This;617;635;11.0;-6769;317;498;1.44e-05;164;446;103019;247160.0
44;The Scientist;557;442;5.0;-7224;243;731;1.46e-05;0.11;213;146277;309600.0
45;A Sky Full of Stars;545;675;6.0;-6474;279;617;197;209;162;124.97;267867.0
46;Paradise;449;585;5.0;-6761;268;509;8.75e-05;833;212;139631;278719.0
47;Hymn for the Weekend;491;693;0.0;-6487;377;211;6.92e-06;325;412;90027;258267.0
48;My Universe;573;711;1.0;-6268;406;114;0.0;328;0.47;105006;226198.0
49;Fix You;209;417;3.0;-8.74;338;164;196;113;124;138178;295533.0
50;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;794;811;6.0;-8966;38;426;1.07e-06;101;862;116047;248413.0
51;One More Time;613;697;2.0;-8618;133;194;0.0;332;476;122746;320357.0
52;Instant Crush (feat. Julian Casablancas);775;585;10.0;-9516;271;422;619;77;518;109942;337560.0
53;Get Lucky (feat. Pharrell Williams & Nile Rodgers);0.81;793;6.0;-9404;403;378;1.77e-06;72;863;116.05;369627.0
54;Around the World;956;795;7.0;-5311;0.15;356;889;906;841;121294;429533.0
55;Harder, Better, Faster, Stronger;817;716;6.0;-8898;144;427;263;358;692;123474;224693.0
56;Something About Us;875;475;9.0;-12673;986;0.44;0.72;46;384;99958;232667.0
57;Lose Yourself to Dance (feat. Pharrell Williams);832;659;10.0;-7828;57;839;114;753;674;100163;353893.0
58;Veridis Quo;605;687;9.0;-13928;45;479;949;104;0.12;106896;345187.0
59;Digital Love;644;664;9.0;-8398;332;48;867;342;0.53;124726;301373.0
60;In the End;556;864;3.0;-5.87;584;958;0.0;209;0.4;105143;216880.0
61;Numb;496;863;9.0;-4153;381;46;0.0;639;243;110018;185587.0
62;What I've Done;623;0.93;5.0;-5285;324;141;1.64e-06;138;287;120119;205613.0
63;Numb / Encore;687;793;2.0;-4254;166;603;0.0;582;751;107045;205733.0
64;One Step Closer;492;969;9.0;-4419;491;14;1.32e-06;787;538;95136;157333.0
65;Faint;554;978;4.0;-3554;131;111;0.0;731;594;135095;162600.0
66;Bleed It Out;529;967;1.0;-3647;508;114;0.0;0.61;596;140127;166373.0
67;Papercut;524;939;9.0;-3994;113;22;0.0;623;661;150184;184867.0
68;Crawling;0.58;702;4.0;-5565;337;466;3.2e-06;536;299;105076;208960.0
69;BURN IT DOWN;585;972;9.0;-4.45;534;143;0.0;707;585;110006;230253.0
70;Creep;515;0.43;7.0;-9935;372;97;133;129;104;91844;238640.0
71;No Surprises;255;393;5.0;-10654;278;577;361;113;118;76426;229120.0
72;Karma Police;0.36;501;7.0;-9129;258;638;9.32e-05;172;324;74807;264067.0
73;High and Dry;419;383;4.0;-11782;256;724;176;896;0.35;87568;257480.0
74;Exit Music (For A Film);293;276;4.0;-11357;349;224;122;167;195;121603;267187.0
75;Weird Fishes/ Arpeggi;531;0.61;11.0;-8025;387;772;756;908;199;152958;318187.0
76;Jigsaw Falling Into Place;462;832;11.0;-6085;479;108;416;741;807;165653;248893.0
77;Fake Plastic Trees;463;229;2.0;-12592;297;167;997;202;135;73543;290707.0
78;Just;291;767;7.0;-6913;862;401;12;763;359;175702;234800.0
79;Nude;516;342;4.0;-9785;342;832;579;857;167;128378;255387.0
80;Highway to Hell;574;913;6.0;-4793;133;61;158;156;423;115728;208400.0
81;Thunderstruck;502;0.89;4.0;-5175;364;147;117;217;259;133.52;292880.0
82;Back In Black;0.31;0.7;9.0;-5678;47;11;965;828;763;188386;255493.0
83;You Shook Me All Night Long;532;767;7.0;-5509;574;287;513;0.39;755;127361;210173.0
84;T.N.T.;754;759;9.0;-5218;302;153;108;101;435;126366;214667.0
85;Hells Bells;389;873;4.0;-4768;475;532;55;273;303;106767;312293.0
86;Dirty Deeds Done Dirt Cheap;668;906;11.0;-4881;0.17;214;245;135;507;135653;231933.0
87;Shoot to Thrill;457;904;2.0;-5303;747;239;879;396;0.48;141038;317427.0
88;It's a Long Way to the Top (If You Wanna Rock 'N' Roll);456;863;3.0;-3551;894;133;538;553;532;135962;301227.0
89;Rock N Roll Train;547;931;2.0;-2356;615;998;118;278;697;118.4;261507.0
90;I Gotta Feeling;744;766;0.0;-6375;265;873;0.0;509;0.61;127966;289133.0
91;DON'T YOU WORRY;831;868;11.0;-5282;325;176;0.0;184;483;131971;194438.0
92;Where Is The Love?;834;699;5.0;-3222;178;111;0.0;131;809;94086;272533.0
93;Just Can’t Get Enough;659;628;0.0;-8685;179;186;0.0;105;262;94.05;219427.0
94;GIRL LIKE ME;965;485;2.0;-8784;191;206;237;655;312;124025;222523.0
95;Pump It;649;931;1.0;-3.15;181;93;0.0;751;744;153645;213067.0
96;Pump It Louder;0.66;942;4.0;-2273;185;789;1.76e-05;834;543;126017;158571.0
97;Meet Me Halfway;798;629;11.0;-6857;735;474;2.29e-05;324;0.4;130002;284373.0
98;RITMO (Bad Boys For Life);732;716;10.0;-6968;561;295;758;0.73;666;105093;214855.0
99;SIMPLY THE BEST;872;789;1.0;-6047;132;203;2.39e-05;125;646;126042;236190.0
100;Billie Jean;932;457;11.0;-9.62;541;173;436;414;884;117002;294227.0
101;Chicago;608;756;7.0;-2675;176;784;0.0;187;0.55;176086;245507.0
102;Beat It;776;711;3.0;-9.03;473;242;353;234;901;138728;258400.0
103;Smooth Criminal - 2012 Remaster;853;981;8.0;-3947;751;247;468;306;595;118193;257760.0
104;Rock with You - Single Version;808;535;1.0;-12521;353;179;9.91e-05;158;848;114031;220627.0
105;Don't Stop 'Til You Get Enough;878;821;11.0;-9875;89;126;461;183;947;118881;365467.0
106;They Don't Care About Us;859;905;0.0;-5539;129;205;837;322;731;89946;284160.0
107;Remember the Time;831;921;5.0;-2383;582;153;224;305;795;108002;239227.0
108;The Way You Make Me Feel - 2012 Remaster;877;854;1.0;-4523;147;544;5.5e-05;144;0.54;114472;298120.0
109;Love Never Felt So Good;775;719;7.0;-6212;435;132;1.79e-06;662;712;117513;246027.0
110;Just Give Me a Reason (feat. Nate Ruess);778;547;2.0;-7273;489;346;302;132;441;95002;242733.0
111;Never Gonna Not Dance Again;668;802;5.0;-4005;917;273;0.0;163;769;113796;225789.0
112;Raise Your Glass;0.7;709;7.0;-5006;838;48;0.0;29;624;122019;202960.0
113;Try;674;628;2.0;-7079;0.03;144;0.0;944;552;103998;247907.0
114;So What;534;0.87;11.0;-3078;425;334;0.0;241;462;126019;215160.0
115;What About Us;491;588;1.0;-6177;506;281;2.01e-06;906;193;113608;269600.0
116;Cover Me In Sunshine;473;592;5.0;-6859;138;528;0.0;131;292;159.7;138573.0
117;TRUSTFALL;636;888;8.0;-3889;945;162;216;147;0.25;122032;237200.0
118;Who Knew;688;734;9.0;-4569;274;462;0.0;756;0.46;140004;208493.0
119;True Love (feat. Lily Allen);457;823;9.0;-4.76;311;144;0.0;108;578;192205;230733.0
120;Mockingbird;637;678;0.0;-3798;266;209;0.0;156;254;84039;250760.0
121;Without Me;908;669;7.0;-2827;738;286;0.0;237;662;112238;290320.0
122;The Real Slim Shady;949;661;5.0;-4244;572;302;0.0;454;0.76;104504;284200.0
123;Superman;802;755;4.0;-3138;564;215;0.0;295;0.58;130027;350320.0
124;Till I Collapse;548;847;1.0;-3237;186;622;0.0;816;0.1;171447;297787.0
125;Stan;0.78;768;6.0;-4325;238;371;2.34e-06;518;507;80063;404107.0
126;Love The Way You Lie;749;925;10.0;-5034;227;241;0.0;0.52;641;86989;263373.0
127;Godzilla (feat. Juice WRLD);808;745;10.0;-5.26;342;145;0.0;292;829;165995;210800.0
128;Sing For The Moment;668;824;5.0;-4164;137;17;3.05e-06;426;185;163961;339547.0
129;Not Afraid;855;954;0.0;-1.19;264;529;0.0;205;668;114635;248133.0
