ID;Track;Danceability;Energy;Key;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_ms
2815;No Podras;694;739;10.0;-9042;265;198;238;0.18;862;117705;240480.0
2816;Por Amarte Así;0.61;637;1.0;-5881;27;0.61;0.0;952;322;128863;272200.0
2817;Resistiré;0.45;878;9.0;-4592;827;71;0.0;908;744;199844;252443.0
2818;Azul;639;814;1.0;-6035;302;708;0.0;915;549;127995;257240.0
2819;Yo Quería;447;662;0.0;-6046;368;0.5;0.0;367;152;133979;251320.0
2820;Lloviendo Estrellas;0.59;809;4.0;-4991;449;72;0.0;415;586;134019;255720.0
2821;Es Mejor Así;712;741;9.0;-10245;289;782;2.97e-05;141;891;127104;237867.0
2822;Es Mejor Así (feat. Reik) - Primera Fila - Live Version;663;839;4.0;-5.21;519;359;4.61e-06;969;679;136995;218080.0
2823;Volver a Amar;483;631;4.0;-5.96;306;636;0.0;322;202;82005;281693.0
2824;Color Esperanza / Sólo le Pido a Dios - Versión México;586;885;7.0;-5241;758;173;0.0;82;624;95989;223907.0
2825;Suite bergamasque, L. 75: III. Clair de lune;335;501;1.0;-33366;451;993;919;618;383;132085;294960.0
2826;Clair de Lune, L. 32;335;532;1.0;-31646;376;994;912;621;397;65832;268000.0
2827;Rêverie, L. 68: Rêverie;296;896;7.0;-31948;394;994;0.91;825;673;69432;256000.0
2828;Rêverie, L. 68;0.25;904;5.0;-31617;41;995;922;779;83;62541;233400.0
2829;Suite bergamasque, L. 75: Clair de lune;339;597;3.0;-27888;509;994;926;695;353;102801;346347.0
2830;Bruyères - Home Session;0.3;405;8.0;-31023;449;992;948;138;233;63821;216061.0
2831;Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif);0.36;249;1.0;-27017;463;993;932;454;396;133024;279160.0
2832;2 Arabesques, L. 66: No. 1 in E Major;252;676;4.0;-31909;358;991;955;62;897;109115;273413.0
2833;Préludes / Book 1, L. 117: 8. La fille aux cheveux de lin;285;464;3.0;-38222;435;995;844;582;216;72.32;150440.0
2834;2 Arabesques, L. 66: I. Andantino con moto;373;783;6.0;-35324;369;995;894;512;815;65097;252600.0
2835;Cama e Mesa - Versão Remasterizada;699;354;8.0;-16487;362;158;0.0;689;751;119909;199413.0
2836;El Gato Que Está Triste y Azul - Un Gato Nel Blu;447;457;4.0;-10969;331;675;0.0;339;0.59;112918;231493.0
2837;Detalles (Detalhes);518;0.25;9.0;-17864;269;0.6;601;139;642;87689;308133.0
2838;Amigo;613;489;11.0;-13509;503;259;0.0;696;898;145278;208867.0
2839;Camionero (Caminhoneiro) [Gentle On My Mind];0.5;572;3.0;-9771;405;562;207;118;513;83288;417533.0
2840;Esse Cara Sou Eu;588;0.42;8.0;-10503;281;215;5.96e-05;938;354;139978;272680.0
2841;Yo Sólo Quiero (Un Millón de Amigos);782;818;6.0;-5.24;515;216;0.0;609;926;127011;295009.0
2842;Amada Amante;403;301;1.0;-18421;469;775;123;115;333;147499;260067.0
2843;Puedes Llegar;384;616;3.0;-9401;381;0.48;1.25e-05;539;408;77835;253360.0
2844;Cóncavo y Convexo (O Côncavo e o Convexo);644;288;0.0;-12486;297;794;108;108;572;93522;186373.0
2845;First Love;438;434;7.0;-8.37;371;122;0.0;0.15;195;179913;257293.0
2846;First Love - 2022 Mix;0.4;517;7.0;-6447;282;0.17;0.0;138;136;179883;261123.0
2847;One Last Kiss;597;542;8.0;-10703;563;698;264;986;397;111985;249904.0
2848;初恋;469;323;7.0;-9317;28;789;0.0;122;423;92217;280880.0
2849;Can You Keep A Secret?;722;884;4.0;-3593;656;378;0.0;219;647;103962;308467.0
2850;BADモード;525;666;5.0;-8399;551;524;137;948;466;117282;303219.0
2851;君に夢中;504;553;1.0;-9163;943;599;4.56e-06;106;435;171914;257953.0
2852;Automatic;716;879;1.0;-3967;549;574;113;131;728;94851;312067.0
2853;Beautiful World;702;818;5.0;-5462;311;803;341;613;303;115003;317947.0
2854;Automatic;707;0.87;1.0;-3442;478;625;109;142;708;94855;328600.0
2855;Something Like That;507;0.85;5.0;-5679;472;378;0.0;567;847;171.8;183733.0
2856;Humble And Kind;355;0.48;11.0;-7.31;282;679;2.28e-06;0.12;137;100956;259267.0
2857;Live Like You Were Dying;416;546;7.0;-7728;297;492;0.0;845;418;159929;300333.0
2858;I Like It, I Love It;643;961;0.0;-5298;315;196;0.0;948;0.96;124027;205707.0
2859;Just To See You Smile;492;823;6.0;-8526;297;127;0.0;523;702;94342;215173.0
2860;Where The Green Grass Grows;479;698;7.0;-7914;277;198;0.0;126;673;159699;201600.0
2861;7500 OBO;528;718;7.0;-6954;337;0.1;0.0;304;0.51;155759;221400.0
2862;Highway Don't Care;0.47;0.79;2.0;-5352;39;216;0.0;863;495;158061;276880.0
2863;Indian Outlaw;664;739;9.0;-7229;415;364;4.99e-05;282;759;110101;182120.0
2864;It's Your Love;474;528;7.0;-8588;276;526;0.0;109;364;144366;227333.0
2865;E. Coli (feat. Earl Sweatshirt);322;555;11.0;-8726;129;208;437;325;397;96019;132147.0
2866;Ocean Prime (feat. Boldy James);583;604;2.0;-8437;456;735;0.0;724;691;49305;99907.0
2867;Great Adventures;499;468;1.0;-11023;522;703;0.0;167;719;163117;107253.0
2868;I Hate Everything (feat. Action Bronson);508;0.6;11.0;-9632;338;451;43;357;337;153022;82133.0
2869;Loose Change (feat. Earl Sweatshirt);506;628;9.0;-8167;175;146;2.91e-05;135;363;86131;118399.0
2870;6 Five Heartbeats (feat. Vince Staples);617;561;11.0;-12026;235;901;111;264;618;154724;114092.0
2871;Arrival;0.0;802;1.0;-7977;0.0;417;878;603;0.0;0.0;94967.0
2872;Something to Rap About (feat. Tyler, The Creator);406;524;5.0;-11071;255;469;3.95e-06;117;412;56046;282560.0
2873;1985;528;595;0.0;-10.35;281;337;0.0;389;0.36;130396;152547.0
2874;Carruth;545;362;6.0;-13491;122;0.83;3.46e-05;112;707;79288;133560.0
2875;American Kids;782;589;0.0;-7.37;803;476;5.84e-06;366;849;85022;182960.0
2876;half of my hometown (feat. Kenny Chesney);0.57;618;10.0;-4966;445;153;0.0;159;286;138034;231832.0
2877;Get Along;632;804;7.0;-6109;503;101;0.0;0.17;0.35;92456;199625.0
2878;She Thinks My Tractor's Sexy;689;886;10.0;-7066;382;664;0.0;278;906;122.07;248067.0
2879;When the Sun Goes Down;798;741;9.0;-6802;284;432;0.000003;252;708;104945;290560.0
2880;I Go Back;532;842;5.0;-5754;503;409;0.0;217;0.67;90187;243667.0
2881;You and Tequila (feat. Grace Potter);691;454;6.0;-9.13;256;437;227;783;0.35;135839;242840.0
2882;All the Pretty Girls;612;848;6.0;-3736;368;916;0.0;366;719;120996;212893.0
2883;Knowing You;557;565;7.0;-6.12;26;229;3.9e-06;119;187;125956;226267.0
2884;She's Got It All;709;811;7.0;-6603;323;93;1.08e-05;0.1;735;132728;205093.0
2885;Prometiste;602;398;0.0;-9503;104;807;0.0;703;603;126285;305120.0
2886;Por Mujeres Como Tú;351;0.29;2.0;-7691;313;846;3.15e-05;162;342;183693;263133.0
2887;Directo Al Corazón;552;273;4.0;-7.7;265;848;5.24e-05;146;318;91876;200480.0
2888;No Me Hablen de Amor;482;823;3.0;-3159;141;281;4.47e-05;178;882;190178;189665.0
2889;Me Vas A Extrañar;436;0.36;0.0;-6322;273;0.7;535;322;565;155999;260830.0
2890;Enseñanza De Los Viejos;796;511;5.0;-5427;199;768;0.0;767;0.95;107.0;186435.0
2891;¿Será Prudente?;562;483;7.0;-5878;316;192;0.0;855;652;86101;226906.0
2892;Miedo;621;402;0.0;-9626;292;451;5.58e-05;111;218;120027;276355.0
2893;Perdóname;514;382;0.0;-7687;268;658;358;218;489;88129;211773.0
2894;Por Una Mujer Bonita;478;485;4.0;-5489;316;744;0.0;243;538;142108;164720.0
2895;El Ultimo Adiós - Varios Artistas Version;276;572;1.0;-7818;377;641;0.0;0.2;285;77986;237467.0
2896;Color Esperanza 2020;591;785;9.0;-7768;161;161;0.0;126;785;106002;217547.0
2897;No Me Acuerdo;837;784;7.0;-4531;101;175;0.0;897;748;94036;217653.0
2898;Desde Esa Noche (feat. Maluma);0.78;929;11.0;-739;532;171;0.0;677;837;95012;227693.0
2899;Te Perdiste Mi Amor (feat. Prince Royce);0.8;723;0.0;-6404;353;344;0.0;956;916;128017;220067.0
2900;No Me Enseñaste;673;0.73;8.0;-6876;671;431;0.0;75;788;134.87;269120.0
2901;Piel Morena;744;816;2.0;-6069;115;321;0.0;329;897;180788;282893.0
2902;No, No, No;533;673;0.0;-7.26;144;0.48;0.0;345;696;125082;249760.0
2903;El Próximo Viernes - Live Version;755;833;5.0;-5491;376;176;0.0;997;764;92.0;249360.0
2904;Estoy Enamorado (with Pedro Capó) - Live Version;307;0.33;2.0;-10454;338;662;0.0;0.69;328;203636;277947.0
2905;Como Tu Mujer;638;528;11.0;-8786;234;222;2.43e-05;76;613;96053;262707.0
2906;La Gata Bajo la Lluvia;499;652;7.0;-5784;341;0.73;0.0;643;484;88321;214893.0
2907;Amor Eterno;274;171;0.0;-16847;326;456;24;808;407;177081;409467.0
2908;Déjame Vivir (with Juan Gabriel);753;233;7.0;-16193;468;0.74;7.37e-06;977;775;131264;222760.0
2909;Costumbres;0.4;151;9.0;-15227;334;678;553;196;354;171.93;272867.0
2910;Ya Te Olvidé;511;463;1.0;-9302;28;332;2.29e-06;106;289;95996;178427.0
2911;Como Han Pasado los Años (with Julio Iglesias);476;622;5.0;-3503;29;397;3.13e-06;112;335;90093;210467.0
2912;El Destino (with Juan Gabriel);626;0.4;2.0;-7927;233;429;3.44e-06;172;468;91092;283760.0
2913;Hoy Lo Vi Pasar;825;488;7.0;-7325;394;0.46;0.0;861;558;116.81;202267.0
2914;Me Gustas Mucho;612;354;5.0;-10257;318;833;0.0;179;0.96;120692;188427.0
2915;Amor Prohibido;681;504;7.0;-11099;284;669;0.0;142;705;89994;172627.0
2916;Si Una Vez;658;525;2.0;-10368;632;516;0.0;936;836;174.16;167000.0
2917;El Chico Del Apartamento 512;762;654;10.0;-10392;335;481;2.8e-06;791;925;102059;208867.0
2918;No Me Queda Más;472;322;2.0;-14403;394;744;0.0;899;654;93742;200840.0
2919;Dreaming Of You;553;458;8.0;-10796;381;325;9.71e-05;583;247;165807;314867.0
2920;Como La Flor - Remastered;597;511;10.0;-9997;303;134;703;285;888;182079;186373.0
2921;Baila Esta Cumbia;711;803;0.0;-4.58;124;0.52;8.37e-06;987;787;182.92;161907.0
2922;Bidi Bidi Bom Bom;569;721;10.0;-5889;375;102;3.38e-05;205;927;180.06;187524.0
2923;La Carcacha;696;0.8;8.0;-5635;671;0.13;0.0;361;0.93;182061;196827.0
2924;Fotos Y Recuerdos;515;522;3.0;-12098;333;651;0.0;509;926;179692;157307.0
2925;Agar Tum Na Hote - Male Version;617;684;5.0;-5.57;341;542;172;118;0.77;124945;249383.0
2926;"Jaane Kya Baat Hai (From ""Sunny"")";436;578;11.0;-4747;301;842;2.03e-05;738;0.52;117669;328758.0
2927;Agar Tum Na Hote - Female Version;618;613;11.0;-5248;37;719;112;127;783;122607;254185.0
2928;"Roj Roj Aankhon Tale (From ""Jeeva"")";467;451;0.0;-8.15;287;0.88;28;187;351;86036;479687.0
2929;Mehbooba Mehbooba - From “Sholay Songs And Dialogues, Vol. 2” Soundtrack;528;477;3.0;-10454;358;978;557;112;422;111511;234240.0
2930;Nonstop Party Mix 2021 Mashup;643;844;9.0;-5539;45;178;4.66e-06;242;413;135085;271250.0
2931;Pyar Hamen Kis Mod Pe - Satte Pe Satta / Soundtrack Version;451;676;0.0;-5914;844;709;0.0;773;671;104404;393253.0
2932;Tum Kya Jano Mohabbat Kya Hai;633;465;7.0;-9324;373;925;302;198;796;126202;96732.0
2933;Bachke Rehna Re Baba - Pukar / Soundtrack Version;443;589;7.0;-8085;392;552;0.0;141;963;97401;384360.0
2934;Kya Yehi Pyaar Hai;431;0.55;6.0;-7.7;316;414;2.14e-05;144;245;139931;335273.0
2935;Moon Rise;756;713;3.0;-6.91;122;365;153;228;597;92039;174057.0
2936;"Nain Ta Heere (From ""Jugjugg Jeeyo"")";0.69;575;11.0;-5763;124;345;0.0;309;509;87967;216328.0
2937;Valentine's Mashup 2019;595;0.61;7.0;-6887;499;332;2.14e-06;628;314;97974;212522.0
2938;Dance Meri Rani;0.9;589;10.0;-6862;173;334;139;805;678;107993;223190.0
2939;Suit Suit;767;869;2.0;-3381;908;0.14;0.0;221;751;98208;190132.0
2940;"Lagdi Lahore Di (From ""Street Dancer 3D"")";786;797;6.0;-4063;414;233;0.0;861;454;95014;215368.0
2941;"High Rated Gabru (From ""Nawabzaade"")";685;841;2.0;-2932;942;118;0.0;0.26;0.59;97929;179099.0
2942;Naach Meri Rani;676;488;1.0;-5091;154;613;0.0;707;151;97036;212693.0
2943;52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style);521;837;7.0;-4501;794;593;1.28e-05;157;0.48;106001;4581483.0
2944;"Ishare Tere (From ""Ishare Tere"")";707;941;1.0;-2606;41;173;3.65e-05;134;337;99013;189152.0
2945;El Amor De Tu Vida;542;489;8.0;-7.89;573;378;0.0;123;674;125336;163224.0
2946;Una Vez Más;663;858;5.0;-2821;463;289;0.0;374;805;116269;159373.0
2947;Algo De Mí;651;807;10.0;-2437;327;457;0.0;214;865;92154;236453.0
2948;Morir De Amor;757;584;2.0;-8646;272;497;498;132;639;122051;182280.0
2949;Necesito Decirte;0.65;514;10.0;-10073;306;266;3.42e-05;881;374;72633;224507.0
2950;Ese;608;0.58;9.0;-6799;26;208;0.0;106;439;143906;238067.0
2951;Te Lloré;601;567;2.0;-5752;265;81;0.0;172;421;136024;214773.0
2952;Actos De Un Tonto;704;759;7.0;-4344;263;642;0.0;123;681;119957;225973.0
2953;Adiós Amor;637;794;2.0;-1683;269;129;0.0;697;495;116117;197733.0
2954;No Te Podías Quedar;595;549;3.0;-6191;0.03;979;2.25e-06;151;454;73546;233627.0
2955;Basta Ya - Banda;593;557;2.0;-4014;368;0.52;1.07e-06;0.1;705;149991;243173.0
2956;No Llega el Olvido;573;276;10.0;-8073;397;651;0.0;909;442;81898;194947.0
2957;Inolvidable;597;0.66;10.0;-3878;193;769;0.0;115;967;183717;179320.0
2958;De Contrabando;751;669;3.0;-3228;478;825;7.56e-05;834;695;90028;186333.0
2959;Ya Lo Sé;485;388;3.0;-5729;326;528;0.0;131;696;159672;203520.0
2960;Con Él;751;526;4.0;-3218;351;662;0.0;253;837;100099;226950.0
2961;La Gran Señora;623;398;0.0;-5804;457;605;0.0;125;754;80115;252440.0
2962;Resulta - Banda;476;525;0.0;-4348;121;576;0.0;716;809;176165;223813.0
2963;Qué Me Vas a Dar;644;635;5.0;-1971;362;798;0.0;989;857;88362;195627.0
2964;Por Qué No Le Calas;582;385;7.0;-5444;333;708;0.0;211;644;141713;205133.0
2965;"Srivalli (From ""Pushpa The Rise Part - 01"")";787;603;9.0;-4781;34;435;0.0;101;743;106984;224072.0
2966;Jashn-E-Bahaaraa;0.7;343;2.0;-10474;308;767;0.0;789;488;137864;315173.0
2967;Kun Faya Kun;362;378;1.0;-11008;329;679;0.0;91;575;87549;470500.0
2968;Tu Hi Haqeeqat;705;744;4.0;-5416;341;582;0.0;0.2;706;115959;302027.0
2969;Tum Tak;0.72;621;2.0;-9773;491;676;0.0;679;566;114987;304467.0
2970;Ek Din Teri Raahon;602;867;2.0;-4745;114;229;1.05e-05;806;698;91993;292000.0
2971;Nagada Nagada;757;942;9.0;-4.13;461;158;784;507;728;120004;228469.0
2972;"Guzarish (From ""Ghajini"")";568;0.74;9.0;-7682;626;976;0.0;116;613;169972;327030.0
2973;Tum Tak - Lofi Flip;696;451;2.0;-9711;317;174;4.84e-05;722;396;116997;128400.0
2974;Siragugal;642;911;10.0;-3322;156;216;148;102;0.61;170015;325930.0
2975;Sun Maahi;323;608;7.0;-9166;162;378;254;114;186;177179;169404.0
2976;Soch Na Sake;505;667;9.0;-5797;323;597;0.0;213;516;151728;281323.0
2977;Main Rahoon Ya Na Rahoon;0.55;488;6.0;-8059;284;718;118;126;301;136025;309458.0
2978;Kaun Tujhe (Armaan Malik Version);492;411;2.0;-9616;0.03;749;1.04e-06;191;187;107939;160485.0
2979;"Heer Raanjhana (From ""Bachchhan Paandey"")";432;614;0.0;-6782;55;511;0.0;191;505;169633;240117.0
2980;"Chale Aana (From ""De De Pyaar De"")";368;587;6.0;-6676;378;309;0.0;149;391;143687;271023.0
2981;Buddhu Sa Mann;644;0.87;10.0;-4816;394;193;0.0;549;702;125998;206858.0
2982;Bol Do Na Zara;545;473;11.0;-8259;312;284;0.0;871;195;130.0;292827.0
2983;52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style);521;837;7.0;-4501;794;593;1.28e-05;157;0.48;106001;4581483.0
2984;O Khuda;358;479;4.0;-5879;286;511;9.72e-06;435;333;121467;307451.0
2985;Main Rang Sharbaton Ka;631;631;6.0;-6934;307;693;0.0;133;697;89975;263152.0
2986;"Mast Magan (From ""2 States"")";659;774;7.0;-7014;372;606;333;185;883;82995;280161.0
2987;Tere Bina;744;0.7;2.0;-7663;375;278;155;68;867;144033;309640.0
2988;Vaarayo Vaarayo;718;361;5.0;-9.74;298;565;119;151;446;103.0;316680.0
2989;"96 (Theme) - From ""96""";358;246;4.0;-12309;402;873;336;101;393;96893;75008.0
2990;Main Rang Sharbaton Ka (Lofi Mix);547;0.43;6.0;-10917;311;679;396;112;501;79923;147000.0
2991;Anbil Avan;731;901;8.0;-5881;308;231;254;577;944;133039;251973.0
2992;Oh Prema;614;682;2.0;-7808;616;374;1.5e-05;122;367;145009;208679.0
2993;Aaruyire;746;803;9.0;-3813;366;275;1.7e-05;741;831;144024;308787.0
2994;Naan Un;0.47;521;6.0;-11142;391;579;3.46e-06;112;328;142266;288360.0
2995;Hallucination;687;788;6.0;-5142;352;121;0.0;358;669;123.02;174795.0
2996;King;0.56;857;4.0;-4145;384;594;0.0;381;432;119975;215360.0
2997;Desire - Gryffin Remix;543;876;10.0;-5069;512;606;0.0;157;415;122058;268840.0
2998;Breathe;746;486;10.0;-7004;344;222;1.41e-06;123;417;92057;233228.0
2999;Sweet Talker;427;901;10.0;-3597;485;224;0.0;698;641;121004;177662.0
3000;Hallucination - Navos Remix;651;812;6.0;-8021;506;749;6.28e-06;0.1;0.56;124969;150040.0
3001;Starstruck;555;879;9.0;-2484;983;11;0.0;298;691;113852;207323.0
3002;100% Pure Love;705;924;7.0;-3202;321;349;2.57e-05;332;337;119991;180825.0
3003;A Second to Midnight;803;764;5.0;-5233;387;339;703;206;614;122014;207987.0
3004;Shine;667;716;1.0;-5.21;349;189;0.0;104;493;108002;255507.0
3005;Are You Gonna Go My Way;619;0.67;11.0;-10322;353;165;109;331;777;129269;211933.0
3006;Fly Away;587;872;7.0;-5066;484;18;0.0;622;735;159925;221333.0
3007;It Ain't Over 'Til It's Over;679;568;6.0;-10.74;423;422;928;322;0.93;159.69;242640.0
3008;Again;0.55;804;2.0;-5218;271;148;4.33e-05;105;789;79166;231667.0
3009;American Woman;688;671;1.0;-7872;975;304;0.0;782;537;83988;264560.0
3010;Can't Get You Off My Mind;567;0.52;7.0;-10247;283;147;3.91e-06;0.25;393;124708;274000.0
3011;Always On The Run;0.52;875;9.0;-8075;151;215;0.03;709;887;169214;233067.0
3012;Low;803;682;8.0;-3459;37;516;223;456;926;106431;318987.0
3013;Stillness Of Heart;541;505;7.0;-7226;237;7.31e-05;362;266;398;77119;255693.0
3014;I Belong To You;0.69;664;5.0;-7715;542;447;343;73;0.63;87286;257733.0
3015;Porcelain;297;634;0.0;-7927;335;141;175;247;331;94733;241173.0
3016;Natural Blues;681;653;3.0;-7891;326;465;563;276;654;107989;253760.0
3017;Why Does My Heart Feel So Bad?;598;624;7.0;-6923;332;108;755;826;451;98004;264827.0
3018;Extreme Ways;511;782;9.0;-7934;486;112;825;0.11;551;100002;237640.0
3019;Flower;686;0.61;7.0;-5902;262;0.19;966;71;767;80567;206293.0
3020;In This World;0.58;701;4.0;-6643;45;12;181;302;263;104967;242520.0
3021;Lift Me Up;581;889;7.0;-6617;595;11;125;155;391;120961;199293.0
3022;One of These Mornings;483;459;11.0;-8314;326;167;655;858;523;91789;192693.0
3023;Honey;824;693;8.0;-8574;33;0.13;224;672;0.76;102.11;209493.0
3024;Go;675;868;4.0;-9118;572;4.82e-05;909;875;539;125843;217240.0
3025;No One Knows;507;588;0.0;-4881;641;359;129;373;637;170889;278707.0
3026;Go With The Flow;242;992;4.0;-3.9;988;148;113;833;374;159.37;187120.0
3027;I Sat by the Ocean;516;0.78;8.0;-4004;364;136;715;0.11;899;116794;235587.0
3028;Make It Wit Chu;704;811;9.0;-5308;277;355;189;0.13;578;91.97;290493.0
3029;Little Sister;364;959;1.0;-2956;627;113;953;411;927;161797;174027.0
3030;The Way You Used To Do;482;843;0.0;-5909;288;103;103;362;433;97907;274282.0
3031;No One Knows;518;547;0.0;-5312;493;106;111;71;0.71;170944;253813.0
3032;If Only;597;892;5.0;-4484;297;716;195;797;939;126066;202680.0
3033;The Lost Art Of Keeping A Secret;544;791;1.0;-4788;353;756;951;719;418;110754;216000.0
3034;You Think I Ain't Worth A Dollar, But I Feel Like A Millionaire;478;861;0.0;-6.79;105;191;396;155;607;159846;192573.0
3035;Song 2 - 2012 Remaster;674;789;8.0;-6903;676;178;708;753;918;129802;121160.0
3036;Girls & Boys;693;875;7.0;-8354;315;986;0.0;601;899;120048;259387.0
3037;Parklife - 2012 Remaster;628;0.89;4.0;-6094;675;121;0.0;281;722;138787;185093.0
3038;Coffee & TV;743;742;2.0;-10117;367;51;234;987;706;121604;358773.0
3039;Country House - 2012 Remaster;331;885;9.0;-6606;923;205;0.0;123;589;175293;236960.0
3040;Beetlebum - 2012 Remaster;542;627;0.0;-7105;243;794;517;277;814;89734;305213.0
3041;Tender;587;566;9.0;-9932;276;469;0.0;644;528;76055;461947.0
3042;Ghost Ship;804;722;2.0;-6421;377;328;269;763;858;140003;299133.0
3043;Good Song;651;493;5.0;-9113;286;213;538;188;719;168544;187680.0
3044;There's No Other Way - 2012 Remaster;576;935;2.0;-5857;497;573;1.17e-05;178;648;112045;204867.0
3045;Wild World;0.48;542;0.0;-8.51;348;345;609;113;567;152853;200560.0
3046;Father And Son;495;326;7.0;-12.29;365;541;8.85e-05;996;371;136243;221120.0
3047;Morning Has Broken - Remastered 2021;443;365;7.0;-11829;315;592;484;886;398;133156;199453.0
3048;The Wind - Remastered 2021;765;291;2.0;-14456;397;787;446;149;806;115751;102987.0
3049;Peace Train - Remastered 2021;594;682;0.0;-8858;487;51;4.56e-05;919;0.76;82487;253293.0
3050;If You Want To Sing Out, Sing Out;687;284;0.0;-13452;355;791;145;158;851;132242;165133.0
3051;Moonshadow - Remastered 2021;636;373;2.0;-9062;289;0.56;2.94e-06;864;548;130618;168120.0
3052;Tea For The Tillerman;439;675;0.0;-16963;108;737;1.2e-05;821;0.55;170225;65947.0
3053;Oh Very Young;728;413;9.0;-11188;372;696;398;861;655;111038;156773.0
3054;Lady D'Arbanville;538;261;4.0;-12616;364;439;1.02e-05;887;528;102153;225400.0
3055;The Last of Us;574;468;4.0;-12392;305;867;928;98;352;154626;183533.0
3056;The Choice;303;338;4.0;-30932;493;909;0.89;116;347;50.96;102373.0
3057;Te Amo y Más;338;283;0.0;-9323;494;889;6.91e-06;0.12;189;206557;156333.0
3058;I Love You Too Much;403;255;0.0;-9601;428;854;9.5e-06;198;0.21;206198;155320.0
3059;The Last of Us Part II;451;457;2.0;-18026;423;904;783;102;128;128598;172560.0
3060;Longing;453;208;9.0;-22219;486;944;0.9;111;436;92163;105773.0
3061;All Gone (Aftermath);239;607;4.0;-22497;417;986;685;113;372;38137;64440.0
3062;All Gone (No Escape);0.14;739;4.0;-22458;437;916;947;961;313;141524;174333.0
3063;The Path (A New Beginning);635;256;11.0;-14187;355;874;0.95;107;249;92025;167067.0
3064;The Apology Song;549;183;2.0;-11398;447;911;0.0;109;337;93965;172227.0
3065;Walk;0.43;704;1.0;-8008;804;155;221;933;703;118242;315120.0
3066;Cowboys from Hell;415;908;2.0;-9701;765;437;345;82;437;114816;243533.0
3067;Cemetery Gates;274;726;9.0;-11541;449;212;113;993;426;146449;422933.0
3068;I'm Broken;419;878;7.0;-6352;553;594;559;139;666;147385;264800.0
3069;Domination;372;888;2.0;-5.88;943;211;442;115;555;141374;305293.0
3070;Mouth for War;329;954;8.0;-7006;722;4.2e-06;614;51;627;156899;237347.0
3071;5 Minutes Alone;504;856;7.0;-6271;423;748;359;114;585;95402;347440.0
3072;This Love;402;0.73;6.0;-9327;455;312;323;103;296;104527;393706.0
3073;Floods;364;811;11.0;-7237;621;268;93;106;151;120758;419893.0
3074;Becoming;578;896;0.0;-5699;497;104;513;126;576;129843;185093.0
3075;Fast Car;711;292;4.0;-15523;37;313;0.0;131;194;103951;296800.0
3076;Baby Can I Hold You;692;422;2.0;-10533;333;811;0.0;848;468;74375;193120.0
3077;Give Me One Reason;608;419;11.0;-10016;331;602;7.58e-06;108;602;100.22;268333.0
3078;Talkin' Bout a Revolution;561;732;7.0;-6178;281;329;228;755;671;118975;161600.0
3079;Stand by Me - Live at the Late Show with David Letterman;816;144;7.0;-10148;398;797;7.81e-06;485;523;99678;169013.0
3080;Crossroads;787;255;0.0;-14733;399;777;959;101;0.6;105.97;251493.0
3081;The Promise;496;975;1.0;-17234;318;703;714;951;0.36;141397;327867.0
3082;For My Lover;557;426;4.0;-13813;532;0.14;6.85e-06;145;354;162713;192440.0
3083;Across the Lines;0.76;278;9.0;-15725;649;231;723;151;501;126242;204667.0
3084;Baby, can I hold you tonight;462;566;2.0;-7915;421;513;5.22e-05;0.84;354;71.75;211960.0
3085;Astronaut In The Ocean;824;744;11.0;-5879;619;995;3.56e-06;332;698;150021;134148.0
3086;abc;732;612;9.0;-6057;35;566;0.0;311;444;122116;167715.0
3087;Savage Love;597;666;3.0;-6042;807;133;1.23e-05;578;698;149888;170240.0
3088;Levitating;689;773;10.0;-5321;373;435;575;0.16;815;103019;184957.0
3089;Dance Monkey;794;679;6.0;-5395;104;166;1.87e-06;134;547;98.16;200933.0
3090;Enemy;596;694;7.0;-5.05;713;389;0.0;908;0.52;154023;148009.0
3091;Good 4 U;559;701;6.0;-5217;138;888;7.95e-05;817;0.79;167784;166413.0
3092;Mood;656;699;11.0;-5952;346;274;0.0;354;698;90981;119789.0
3093;Kings & Queens;746;793;6.0;-4105;468;138;0.0;761;748;129972;146233.0
3094;Rain On Me;714;936;1.0;-3.97;513;224;0.0;319;759;122997;183636.0
3095;Call Me;554;833;2.0;-6667;347;646;25;737;773;142673;212227.0
3096;Heart Of Glass - Special Mix;694;577;4.0;-14.63;308;15;836;853;845;114478;275733.0
3097;Maria;548;0.8;9.0;-6926;597;38;255;678;805;159654;249427.0
3098;One Way Or Another;442;922;2.0;-5086;655;532;3.86e-06;768;855;162272;217364.0
3099;Heart Of Glass;0.77;654;4.0;-6108;361;539;47;819;685;114.82;229423.0
3100;The Tide Is High - Edit;778;667;11.0;-7273;258;514;312;92;964;96954;233893.0
3101;Atomic;596;824;4.0;-4893;361;504;129;586;786;135171;280324.0
3102;Rapture;724;704;11.0;-8258;511;113;425;466;0.96;107486;299373.0
3103;Heart Of Glass - Remix;683;549;4.0;-11771;376;476;195;623;642;114939;351293.0
3104;The Tide Is High - Remastered;777;0.8;11.0;-5803;276;181;204;201;969;96674;280267.0
3105;Aunque no sea conmigo;461;715;4.0;-6246;281;458;1.56e-05;719;455;86.09;212560.0
3106;Frente a frente (feat. Tulsa);419;473;7.0;-8192;288;513;3.52e-06;133;324;138013;233960.0
